id,name,title,first_submitted,primary_relation,theme,resource_type,modalities,secondary_relations,first_author,description,project_url,code_url,paper_url,source_url,verification_level,checked_on,publication_status,scope_basis
2606.15867,CogCanvas,CogCanvas: A Benchmark for Evaluating Multi-Subject Reference-Based Image Generation,2026-06-14,Internal,Subject and identity evaluation,Benchmark,Image,External,"Nguyen, Long-Bao","Jointly tests multi-person identity, per-subject object and fashion binding, background fidelity and interaction plausibility.",,,https://arxiv.org/abs/2606.15867,https://arxiv.org/abs/2606.15867,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2606.10839,HarmoView,HarmoView: Harmonizing Multi-View Constraints for Identity-Consistent Video Generation,2026-06-09,Internal,Multi-view and geometric consistency,Method,Video; 3D,External,"Wang, Cong","Combines appearance anchors, proxy tokens and identity-separated positional encoding with a progressive multi-view training curriculum.",,,https://arxiv.org/abs/2606.10839,https://arxiv.org/abs/2606.10839,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2606.08780,Temporal-structure-preserving editing,Beyond Consistency: Preserving Temporal Structure in Zero-Shot Video Editing,2026-06-07,External,Temporally consistent video editing,Method,Video,Internal,"Liu, Deyin","Preserves source-video temporal organization using semantic clip partitioning, anchor frames and clip-adaptive token merging.",,,https://arxiv.org/abs/2606.08780,https://arxiv.org/abs/2606.08780,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2606.01481,SafeGen-Bench,SafeGen-Bench: Benchmarking Safety in Image-Conditioned Text-to-Video Generation,2026-05-31,Normative,"Safety, erasure and capability retention",Benchmark,Video,External; Internal,"Ma, Yingzi",Tests unsafe behaviors that can emerge from jointly benign-looking image and text inputs in conditional video generation.,,,https://arxiv.org/abs/2606.01481,https://arxiv.org/abs/2606.01481,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2605.28902,OCE,Orthogonal Concept Erasure for Diffusion Models,2026-05-27,Normative,"Safety, erasure and capability retention",Method,Image,,"Sun, Yuhao",Uses multiplicative orthogonal parameter transformations to separate concept removal from broader generative-capability preservation.,,https://github.com/HansSunY/OCE,https://arxiv.org/abs/2605.28902,https://arxiv.org/abs/2605.28902,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2605.28615,BiDPO / BiComp,Compositional Text-to-Image Generation Via Region-aware Bimodal Direct Preference Optimization,2026-05-27,External,Compositionality and spatial grounding,Method + Dataset,Image,Normative,"Liu, Zhuohan","Combines image-text preference optimization, compositional preference data and region-level guidance for prompt fidelity.",,,https://arxiv.org/abs/2605.28615,https://arxiv.org/abs/2605.28615,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2605.26525,ReCA / MSVE-Bench,ReCA: Multi-Shot Long Video Extrapolation via Recursive Context Allocation,2026-05-26,Internal,Multi-shot narratives and persistent memory,Method + Benchmark,Video,External,"Liu, Akide",Allocates planning and generation context hierarchically to preserve observed state while extending a source clip into multiple shots.,https://reca.vmv.re,,https://arxiv.org/abs/2605.26525,https://arxiv.org/abs/2605.26525,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2605.20183,MSAVBench,MSAVBench: Towards Comprehensive and Reliable Evaluation of Multi-Shot Audio-Video Generation,2026-05-19,Internal,Multi-shot narratives and persistent memory,Benchmark,Video; Audio,External,"Wei, Yujie","Evaluates video, audio, shots and references with adaptive segmentation and tool-grounded evidence for multi-shot audio-video generation.",,,https://arxiv.org/abs/2605.20183,https://arxiv.org/abs/2605.20183,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2605.19876,SEGS,Structural Energy Guidance for View-Consistent Text-to-3D Generation,2026-05-19,Internal,Multi-view and geometric consistency,Method,3D,,"Zhang, Qing",Injects structural-energy gradients derived from diffusion features to mitigate inconsistent geometry and Janus artifacts across views.,,,https://arxiv.org/abs/2605.19876,https://arxiv.org/abs/2605.19876,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2605.19320,TextAlign,TextAlign: Preference Alignment for Text Rendering with Hierarchical Rewards,2026-05-19,External,Typography and text rendering,Method,Image,Normative,"Cui, Mingxuan","Decomposes rendering defects into global, word and glyph levels to supply hierarchical rewards for preference alignment.",,,https://arxiv.org/abs/2605.19320,https://arxiv.org/abs/2605.19320,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2605.15199,EntityBench / EntityMem,EntityBench: Towards Entity-Consistent Long-Range Multi-Shot Video Generation,2026-05-14,Internal,Multi-shot narratives and persistent memory,Benchmark + Method,Video,External,"He, Ruozhen","Tracks recurring characters, objects and locations across long shot sequences, with fidelity-gated scoring and a persistent entity-memory baseline.",,https://github.com/Catherine-R-He/EntityBench/,https://arxiv.org/abs/2605.15199,https://arxiv.org/abs/2605.15199,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2605.12496,CausalCine,CausalCine: Real-Time Autoregressive Generation for Multi-Shot Video Narratives,2026-05-12,Internal,Multi-shot narratives and persistent memory,Method,Video,External,"Meng, Yihao",Uses content-aware memory routing and causal multi-shot training to support streaming narratives with changing prompts and shot boundaries.,https://yihao-meng.github.io/CausalCine/,,https://arxiv.org/abs/2605.12496,https://arxiv.org/abs/2605.12496,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2605.10806,PhyGround / PhyJudge-9B,PhyGround: Benchmarking Physical Reasoning in Generative World Models,2026-05-11,Normative,Physical and causal evaluation,Benchmark + Evaluator,Video,Internal,"Lin, Juyi","Grounds physical evaluation in observable law-specific questions, controlled human annotations and a specialized visual-language judge.",https://phyground.github.io/,,https://arxiv.org/abs/2605.10806,https://arxiv.org/abs/2605.10806,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2605.07503,Diffusion-APO,Diffusion-APO: Trajectory-Aware Direct Preference Alignment for Video Diffusion Transformers,2026-05-08,Normative,Preference alignment and reward learning,Method,Video,External,"Zhu, Jingyuan",Aligns preference-training noise with inference trajectories and supports several online and offline video-alignment stages.,,,https://arxiv.org/abs/2605.07503,https://arxiv.org/abs/2605.07503,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2605.01761,TrajShield,TrajShield: Trajectory-Level Safety Mediation for Defending Text-to-Video Models Against Jailbreak Attacks,2026-05-03,Normative,"Safety, erasure and capability retention",Method,Video,External; Internal,"Zou, Quanchen",Uses trajectory-level risk analysis and targeted prompt rewriting to address unsafe intent and temporally emerging video risks.,,,https://arxiv.org/abs/2605.01761,https://arxiv.org/abs/2605.01761,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2604.21036,Target-based fairness prompting,Who Defines Fairness? Target-Based Prompting for Demographic Representation in Generative Models,2026-04-22,Normative,"Safety, erasure and capability retention",Method,Image,External,"Nizam, Marzia Binta",Audits generated demographic representation against explicitly declared target distributions rather than assuming one universal fairness target.,,,https://arxiv.org/abs/2604.21036,https://arxiv.org/abs/2604.21036,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2604.04575,Erasure or Erosion?,Erasure or Erosion? Evaluating Compositional Degradation in Unlearned Text-To-Image Diffusion Models,2026-04-06,Normative,"Safety, erasure and capability retention",Evaluation study,Image,External,"Koma, Arian Komaei","Audits how concept unlearning affects attribute binding, spatial relations and counting rather than checking erasure success alone.",,,https://arxiv.org/abs/2604.04575,https://arxiv.org/abs/2604.04575,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2604.02817,MMPhysVideo,MMPhysVideo: Scaling Physical Plausibility in Video Generation via Joint Multimodal Modeling,2026-04-03,Normative,Physics-aware generation,Method,Video,Internal,"Lin, Shubo","Jointly models appearance, geometry and trajectory cues, then distills learned physical priors into an efficient video generator.",,,https://arxiv.org/abs/2604.02817,https://arxiv.org/abs/2604.02817,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2603.29029,MMFace-DiT,MMFace-DiT: A Dual-Stream Diffusion Transformer for High-Fidelity Multimodal Face Generation,2026-03-30,External,Structural and camera control,Method,Image,,"Krishnamurthy, Bharath",Fuses semantic text and spatial mask or sketch conditions within a dual-stream diffusion transformer for controllable face synthesis.,https://vcbsl.github.io/MMFace-DiT/,,https://arxiv.org/abs/2603.29029,https://arxiv.org/abs/2603.29029,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2603.22228,SpatialReward / SpatRelBench,SpatialReward: Verifiable Spatial Reward Modeling for Fine-Grained Spatial Consistency in Text-to-Image Generation,2026-03-23,External,Compositionality and spatial grounding,Evaluator + Benchmark,Image,Normative,"Zhou, Sashuai",Grounds spatial reward judgments in decomposed prompts and detected objects; introduces SpatRelBench for fine-grained spatial evaluation.,,,https://arxiv.org/abs/2603.22228,https://arxiv.org/abs/2603.22228,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2603.19607,Physion-Eval,Physion-Eval: Evaluating Physical Realism in Generated Video via Human Reasoning,2026-03-20,Normative,Physical and causal evaluation,Benchmark + Dataset,Video,Internal,"Zhang, Qin",Provides expert reasoning traces and temporally localized physical-glitch annotations for diagnosing generated-video realism failures.,https://huggingface.co/datasets/PhysionLabs/Physion-Eval,,https://arxiv.org/abs/2603.19607,https://arxiv.org/abs/2603.19607,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2603.18639,PhysVideo / PhysMV,PhysVideo: Physically Plausible Video Generation with Cross-View Geometry Guidance,2026-03-19,Normative,Physics-aware generation,Method + Dataset,Video; 3D,Internal,"Wang, Cong",Uses physics-aware multi-view foreground generation and background synthesis to couple motion plausibility with cross-view geometry.,,,https://arxiv.org/abs/2603.18639,https://arxiv.org/abs/2603.18639,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2603.11556,DIAE,Enhancing Image Aesthetics with Dual-Conditioned Diffusion Models Guided by Multimodal Perception,2026-03-12,Normative,Preference alignment and reward learning,Method + Dataset,Image,External; Internal,"Nan, Xinyu",Uses multimodal aesthetic guidance and weakly paired supervision to improve aesthetics while retaining image content.,,,https://arxiv.org/abs/2603.11556,https://arxiv.org/abs/2603.11556,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2603.10256,ID-LoRA,ID-LoRA: Identity-Driven Audio-Video Personalization with In-Context LoRA,2026-03-10,Internal,Subject and identity preservation,Method,Video; Audio,External,"Dahan, Aviad","Jointly personalizes visual appearance and voice using reference conditioning, separated temporal positions and identity guidance.",,,https://arxiv.org/abs/2603.10256,https://arxiv.org/abs/2603.10256,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2603.07119,TIQA / ANTIQA,TIQA: Human-Aligned Text Quality Assessment in Generated Images,2026-03-07,External,Typography and text rendering,Evaluator + Dataset,Image,Normative,"Koltsov, Kirill",Evaluates perceptual quality of rendered text with human-labeled crops and images rather than relying only on OCR correctness.,,,https://arxiv.org/abs/2603.07119,https://arxiv.org/abs/2603.07119,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2603.06032,StruVis,StruVis: Enhancing Reasoning-based Text-to-Image Generation via Thinking with Structured Vision,2026-03-06,External,Compositionality and spatial grounding,Method,Image,,"Lyu, Yuanhuiyi",Uses structured visual representations as intermediate reasoning states to improve prompt interpretation before image generation.,,,https://arxiv.org/abs/2603.06032,https://arxiv.org/abs/2603.06032,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2602.20903,TextPecker,TextPecker: Rewarding Structural Anomaly Quantification for Enhancing Visual Text Rendering,2026-02-24,External,Typography and text rendering,Method + Dataset,Image,Normative,"Zhu, Hanshen",Uses character-level structural anomaly supervision to make text-rendering rewards sensitive to malformed glyphs and distortions.,,,https://arxiv.org/abs/2602.20903,https://arxiv.org/abs/2602.20903,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2602.13994,SpatialID,Inject Where It Matters: Training-Free Spatially-Adaptive Identity Preservation for Text-to-Image Personalization,2026-02-15,Internal,Subject and identity preservation,Method,Image,External,"Li, Guandong",Restricts identity injection spatially and schedules it over denoising to reduce interference with background and prompt-driven content.,,,https://arxiv.org/abs/2602.13994,https://arxiv.org/abs/2602.13994,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2602.13637,DCDM,DCDM: Divide-and-Conquer Diffusion Models for Consistency-Preserving Video Generation,2026-02-14,Internal,Multi-shot narratives and persistent memory,Method,Video,External; Normative,"Zhao, Haoyu","Separates intra-clip semantics, inter-clip camera control and inter-shot element persistence into complementary video-generation components.",,,https://arxiv.org/abs/2602.13637,https://arxiv.org/abs/2602.13637,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2602.10113,ConsID-Gen / ConsIDVid,ConsID-Gen: View-Consistent and Identity-Preserving Image-to-Video Generation,2026-02-10,Internal,Multi-view and geometric consistency,Method + Benchmark + Dataset,Video; 3D,External,"Wu, Mingyang",Augments image-to-video conditioning with auxiliary views and evaluates identity and geometry using the ConsIDVid data and benchmark.,https://myangwu.github.io/ConsID-Gen,,https://arxiv.org/abs/2602.10113,https://arxiv.org/abs/2602.10113,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2602.06195,DeDPO,DeDPO: Debiased Direct Preference Optimization for Diffusion Models,2026-02-05,Normative,Preference alignment and reward learning,Method,Image,,"Pham, Khiem",Corrects systematic bias in synthetic preference labels to combine limited human feedback with inexpensive AI annotations.,,,https://arxiv.org/abs/2602.06195,https://arxiv.org/abs/2602.06195,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2602.02123,MLV-Edit,MLV-Edit: Towards Consistent and Highly Efficient Editing for Minute-Level Videos,2026-02-02,External,Temporally consistent video editing,Method,Video,Internal,"Cao, Yangyi",Uses flow blending at segment boundaries and attention anchors to reduce flicker and structural drift in minute-length editing.,,,https://arxiv.org/abs/2602.02123,https://arxiv.org/abs/2602.02123,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2601.17756,MV-S2V,MV-S2V: Multi-View Subject-Consistent Video Generation,2026-01-25,Internal,Multi-view and geometric consistency,Method,Video; 3D,External,"Song, Ziyang",Uses multiple reference views and temporally shifted positional encoding to separate subject identity from reference viewpoint.,https://szy-young.github.io/mv-s2v,,https://arxiv.org/abs/2601.17756,https://arxiv.org/abs/2601.17756,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2601.15286,Iterative refinement,Iterative Refinement Improves Compositional Image Generation,2026-01-21,External,Compositionality and spatial grounding,Method,Image,,"Jaiswal, Shantanu","Uses a vision-language critic to guide sequential corrections of objects, attributes and relations during test-time generation.",https://iterative-img-gen.github.io/,,https://arxiv.org/abs/2601.15286,https://arxiv.org/abs/2601.15286,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2601.05572,Generalized multi-image editing,Towards Generalized Multi-Image Editing for Unified Multimodal Models,2026-01-09,External,Image editing and in-context generation,Method + Benchmark,Image,Internal,"Xu, Pengcheng",Disambiguates multiple input images through latent separators and image-index encoding; evaluates cross-image editing integration.,,,https://arxiv.org/abs/2601.05572,https://arxiv.org/abs/2601.05572,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2601.00535,FreeText,FreeText: Training-Free Text Rendering in Diffusion Transformers via Attention Localization and Spectral Glyph Injection,2026-01-02,External,Typography and text rendering,Method,Image,,"Zhang, Ruiqiang",Separates text-region localization from glyph injection to improve visual text rendering without retraining the generator.,,,https://arxiv.org/abs/2601.00535,https://arxiv.org/abs/2601.00535,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2512.19539,StoryMem / ST-Bench,StoryMem: Multi-shot Long Video Storytelling with Memory,2025-12-22,Internal,Multi-shot narratives and persistent memory,Method + Benchmark,Video,External,"Zhang, Kaiwen",Conditions iterative shot synthesis on selected historical keyframes and introduces ST-Bench for long-form storytelling evaluation.,,,https://arxiv.org/abs/2512.19539,https://arxiv.org/abs/2512.19539,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2512.13392,Beyond the Visible,Beyond the Visible: Disocclusion-Aware Editing via Proxy Dynamic Graphs,2025-12-15,External,Structural and camera control,Method,Video,Internal,"Qi, Anran",Separates articulated motion from appearance editing to control newly revealed regions in image-to-video generation.,https://anranqi.github.io/beyondvisible.github.io/,,https://arxiv.org/abs/2512.13392,https://arxiv.org/abs/2512.13392,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2510.27285,S-GRACE,Rethinking Robust Adversarial Concept Erasure in Diffusion Models,2025-10-31,Normative,"Safety, erasure and capability retention",Method,Image,,"Yin, Qinghong",Uses semantic guidance during adversarial erasure training to improve concept coverage while limiting collateral changes.,,https://github.com/Qhong-522/S-GRACE,https://arxiv.org/abs/2510.27285,https://arxiv.org/abs/2510.27285,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2510.20822,HoloCine,HoloCine: Holistic Generation of Cinematic Multi-Shot Long Video Narratives,2025-10-23,Internal,Multi-shot narratives and persistent memory,Method,Video,External,"Meng, Yihao","Combines shot-local text conditioning with sparse inter-shot attention for jointly generated, coherent cinematic scenes.",https://holo-cine.github.io/,,https://arxiv.org/abs/2510.20822,https://arxiv.org/abs/2510.20822,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2510.16888,UniWorld-V2 / Edit-R1,Uniworld-V2: Reinforce Image Editing with Diffusion Negative-aware Finetuning and MLLM Implicit Feedback,2025-10-19,Normative,Preference alignment and reward learning,Method,Image,External; Internal,"Li, Zongjian","Combines DiffusionNFT and multimodal-model feedback for post-training instruction editing, with filtering to reduce scoring noise.",,https://github.com/PKU-YuanGroup/UniWorld-V2,https://arxiv.org/abs/2510.16888,https://arxiv.org/abs/2510.16888,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2510.12784,SRUM,SRUM: Fine-Grained Self-Rewarding for Unified Multimodal Models,2025-10-14,Normative,Preference alignment and reward learning,Method,Image,External,"Jin, Weiyang",Uses a unified model's understanding branch to provide global and object-local feedback for its image-generation branch.,,,https://arxiv.org/abs/2510.12784,https://arxiv.org/abs/2510.12784,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2510.02283,Self-Forcing++,Self-Forcing++: Towards Minute-Scale High-Quality Video Generation,2025-10-02,Internal,Long-horizon video generation,Method,Video,,"Cui, Justin",Supervises sampled segments of self-generated long videos to reduce error accumulation beyond short-teacher training horizons.,https://self-forcing-plus-plus.github.io/,,https://arxiv.org/abs/2510.02283,https://arxiv.org/abs/2510.02283,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2509.22799,VideoScore2 / VideoFeedback2,VideoScore2: Think before You Score in Generative Video Evaluation,2025-09-26,Normative,Physical and causal evaluation,Evaluator + Dataset,Video,External; Internal,"He, Xuan","Produces interpretable assessments of visual quality, text alignment and physical or commonsense consistency using human-annotated video feedback.",https://tiger-ai-lab.github.io/VideoScore2/,,https://arxiv.org/abs/2509.22799,https://arxiv.org/abs/2509.22799,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2509.22622,LongLive,LongLive: Real-time Interactive Long Video Generation,2025-09-26,Internal,Long-horizon video generation,Method,Video,External,"Yang, Shuai","Combines long-rollout training, prompt-aware cache refresh and frame sinks to preserve consistency during interactive long-video generation.",,,https://arxiv.org/abs/2509.22622,https://arxiv.org/abs/2509.22622,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2509.21433,DyME / ErasureBench-H,DyME: Dynamic Multi-Concept Erasure in Diffusion Models with Bi-Level Orthogonal LoRA Adaptation,2025-09-25,Normative,"Safety, erasure and capability retention",Method + Benchmark,Image,,"Liu, Jiaqi",Composes concept-specific erasure adapters with orthogonality constraints and evaluates interference on a hierarchical erasure benchmark.,,,https://arxiv.org/abs/2509.21433,https://arxiv.org/abs/2509.21433,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2509.16117,DiffusionNFT,DiffusionNFT: Online Diffusion Reinforcement with Forward Process,2025-09-19,Normative,Preference alignment and reward learning,Method,Image,External,"Zheng, Kaiwen",Contrasts positively and negatively rewarded generations in a forward-process objective without requiring reverse-trajectory likelihoods.,,,https://arxiv.org/abs/2509.16117,https://arxiv.org/abs/2509.16117,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2508.17472,T2I-ReasonBench,T2I-ReasonBench: Benchmarking Reasoning-Informed Text-to-Image Generation,2025-08-24,External,Editing and reasoning evaluation,Benchmark,Image,Normative,"Sun, Kaiyue","Separates reasoning accuracy from image quality across idioms, textual design, entity reasoning and scientific reasoning.",,,https://arxiv.org/abs/2508.17472,https://arxiv.org/abs/2508.17472,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2508.02324,Qwen-Image,Qwen-Image Technical Report,2025-08-04,External,Typography and text rendering,Method,Image,Internal,"Wu, Chenfei",Combines multilingual text-rendering training with semantic and reconstructive image encodings for editing fidelity.,,,https://arxiv.org/abs/2508.02324,https://arxiv.org/abs/2508.02324,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
